video_id,title,channelId,channelTitle,categoryId,duration,thumbnail_link,tags,description,channel_desc,channel_keywords,related_vid_id
5b_lIKhvThM,"芋头的一生，辣椒…是送的The life of taro…and pepper is today’s treat丨Liziqi Channel","UCoC47do520os_4DBMEFGg4A","李子柒 Liziqi","26","1199.0","https://i.ytimg.com/vi/5b_lIKhvThM/default.jpg","liziqi|liziqi vlogger|中國美食|中華傳統文化|Chinese food|饮食文化|中国风|田园|美食|ly tu that|李子柒|lý tử thất|李子柒最新|李子柒更新|李子柒 红薯|红薯 芋头|红糖芋圆蛋|烤芋儿|芋儿鸡|李子柒 花","Please  subscribe to 【李子柒 Liziqi 】Liziqi Channel on YouTube if you like my videos: https://goo.gl/nkjpSx #李子柒#Liziqi#ChineseCuisine #ChineseFood小时候我爷爷教过一句让我很疑惑的顺口溜：“红薯芋头本姓张，煮的没有烧的香”…虽然到现在也想不明白为啥一定要姓“张”但一点也不妨碍我爱吃它！年初在前院大门口种了几排毛芋儿后门那多种了香芋，刚好也到了能下嘴的季节。芋儿鸡、烤芋儿、红糖芋圆蛋…你们呢？最喜欢怎么吃芋头啊？When I was little, grandpa taught me a rather puzzling jingle: “Sweet potato and taro are surnamed Zhang, better roasted than boiled for long.” Even today I still haven’t figured out why on earth they had anything to do with the surname Zhang, but I love them anyway! At the beginning of the year, several rows of taro were planted at the gate of the front yard, and water yam at the back door. Now it’s just the time to feast on them. Taro with chicken stew, roasted taro, eggs with taro balls in brown sugar…And you? How do you like your taro best? 【李子柒 Liziqi 】 https://goo.gl/nkjpSx--------------------------------------------------------------------liziqi李子柒更多精彩视频推荐/More wonderful video recommendations：liziqi李子柒精选视频/decent video selection：https://is.gd/qe9xuc李子柒●花开有声 | Soud of blooming flowers： https://is.gd/tyr1ja李子柒 ●饮食以节 | Chinese festival food： https://is.gd/3LsFnu李子柒 ●适时而食 | Seasonal diet： https://is.gd/JmLJH3东方非遗传承 | Oriental intangible cultural heritage ： https://is.gd/atatyo传统工艺 | Traditional handicraft： https://is.gd/FPl4dfSpring 春之卷：https://is.gd/EBwo2nSummer 夏之卷：https://is.gd/i1jJ46Autumn 秋之卷：https://is.gd/YBVeL2Winter 冬之卷：https://is.gd/3JqW8D#李子柒 #liziqi","这里是李子柒YouTube官方频道哦～欢迎订阅：https://goo.gl/nkjpSx Please  subscribe to 【李子柒 Liziqi 】Liziqi Channel on YouTube if you like my videos本人未在中国大陆以外开设任何销售渠道So far Liziqi has not set up any distribution channels outside China mainland.目前没有任何官方粉丝后援会哦~So far I don't have any official fan clubs~新浪微博：https://weibo.com/u/2970452952Facebook公共主页：https://www.facebook.com/cnliziqi/YouTube公共频道：https://www.youtube.com/c/cnliziqi","李子柒 中国美食 Lý Tử Thất Chinese cuisine","B6bJ_vTslyo"
3mCeQLqB7TQ,"当腊味煲仔饭遇上胡椒猪肚鸡你又以为有故事？还是没有！Lap Mei claypot rice | pig maw and chicken soup with pepper Liziqi Channel","UCoC47do520os_4DBMEFGg4A","李子柒 Liziqi","26","655.0","https://i.ytimg.com/vi/3mCeQLqB7TQ/default.jpg","lý tử thất|李子柒|腊肠|美食|饮食文化|田园|生活方式|li ziqi|Chinese girl|Chinese food|liziqi|liziqi channel|liziqi vlogger|liziqi cooking","Please  subscribe to 【李子柒 Liziqi 】Liziqi Channel on YouTube if you like my videos: https://goo.gl/nkjpSx When Lap Mei claypot rice meets pig maw and chicken soup with pepper,Any sparkles? You’ll be disappointed again!It’s festival season when pigs are slaughtered in nearly every household in the countryside, for cold smoking waxed meat and sausages.Freezing days are best with pig maw and pepper chicken casserole in Hakka traditionto go with Lap Mei claypot rice, plus pork liver stir-fried in salted egg yolks.What a divine combination!正是家家户户杀年猪的时候腊肉 腊肠用冷熏的法子做了个遍大冷天的煮了个客家传统老汤“胡椒猪肚鸡”配个腊味煲仔饭+咸蛋黄猪肝这都是什么人间美味！！#李子柒#liziqi#LýTửThất  【李子柒 Liziqi 】 https://goo.gl/nkjpSxliziqi李子柒更多精彩视频推荐/More wonderful video recommendations：liziqi李子柒精选视频/decent video selection：https://is.gd/qe9xucSpring 春之卷：https://is.gd/EBwo2nSummer 夏之卷：https://is.gd/i1jJ46Autumn 秋之卷：https://is.gd/YBVeL2Winter 冬之卷：https://is.gd/3JqW8D#LýTửThất #liziqichannel#Chinesefood #리즈치","这里是李子柒YouTube官方频道哦～欢迎订阅：https://goo.gl/nkjpSx Please  subscribe to 【李子柒 Liziqi 】Liziqi Channel on YouTube if you like my videos本人未在中国大陆以外开设任何销售渠道So far Liziqi has not set up any distribution channels outside China mainland.目前没有任何官方粉丝后援会哦~So far I don't have any official fan clubs~新浪微博：https://weibo.com/u/2970452952Facebook公共主页：https://www.facebook.com/cnliziqi/YouTube公共频道：https://www.youtube.com/c/cnliziqi","李子柒 中国美食 Lý Tử Thất Chinese cuisine","B6bJ_vTslyo"
DTTNyJPlGuE,"藏在深山里的乌金鸡，在加上贵州特色 美食 盐须辣椒折耳根，蛋炒玉米饭都多吃两碗 | 野小妹wild girl Chinese Food 美食","UCf8zNN8N7U2BEm4WBQnWBIw","野小妹wild girl","22","651.0","https://i.ytimg.com/vi/DTTNyJPlGuE/default.jpg","Food Channel|chinese food|China|大陆美食|小吃|食品|美食|liziqi|李子柒|滇西小哥Dianxixiaoge|wild girl|野小妹|大陆农村|大陆|生活|中国传统美食|中国|传统文化|WILD GIRL|小妹|cooking|recipe|rural village|village cooking|girl cooking|indian girl cooking|indian|srilankan|village girl cooking|village girl|vegetable picking|food|chinese girl|chinese girl cooking|country food|nadee cooking|srilankan food|indian food|relaxing|relax|asmr|USA|america|moss jelly|乌金鸡|乌骨鸡的做法|鸡蛋|鸡蛋的做法|养鸡|野鸡|鸡肉|鸡肉的做法|养殖乌金鸡|贵州农村养殖|EGG","欢迎订阅！ Welcome to subscribe！野小妹wild girlhttps://www.youtube.com/channel/UCf8zNN8N7U2BEm4WBQnWBIw?sub_confirmation=1==========================================欢迎来到野小妹频道,有你们的支持 让我们的人生更精彩！===============================================（野小妹）一个地道的贵州妹子！跟着我的视频去看贵州的 美食 小吃 野菜 中国美食 Chinese Food DIY 农村的风俗,风景,山山水水,,享受农村的生活！======================================================每周不定期更新，如果没更新，可能是没网啦😊，欢迎大家订阅====================================================贵州 美食 | 野小妹Wild girl#野小妹 #ChineseFood #wildgirl","Dear friends, welcome to the main channel of Wild girl 【亲爱的朋友们，欢迎来到野小妹Wild girl 的主频道】 一个地道的贵州女孩带你们寻找身边的美食中国传统美食中国农村文化和身边的风景。@野小妹Wild girl","Food Channel chinese food China 大陆美食 小吃 食品 美食 liziqi 李子柒 滇西小哥Dianxixiaoge wild girl 野小妹 大陆美食 大陆农村 大陆 生活 传统美食 中国传统美食 中国 传统文化 tourism WILD GIRL yexiaomei 小妹 cooking Me food drinks recipes recipe village cooking girl rural primitive authentic rice curry vegetable fruit dessert garden farm kitchen village food country food village girl village lifeprimitive cookingindian foodsrilankan foodarabic food malay food chinese girl cooking indian girl","B6bJ_vTslyo"
b44xja5KeAo,"The life of wheat! Which is your favorite food made from wheat?关于小麦的一生，你最爱吃哪种面食？丨Liziqi Channel","UCoC47do520os_4DBMEFGg4A","李子柒 Liziqi","26","1145.0","https://i.ytimg.com/vi/b44xja5KeAo/default.jpg","liziqi|liziqi vlogger|中國美食|中華傳統文化|Chinese food|饮食文化|中国风|田园|美食|ly tu that|李子柒|lý tử thất|liziqi cooking","Please  subscribe to 【李子柒 Liziqi 】Liziqi Channel on YouTube if you like my videos: https://goo.gl/nkjpSx 小时候最期待“叮叮哐”敲麻糖的声音，记忆里爷爷总自己发麦芽熬糖给我们扯麦芽糖从一捧麦子到一筐麦子，不过是生命的轮回。麦芽能熬糖，麦秆能编帽，面粉能做各种美食包子 凉皮 肉夹馍，麻花 面条 烤面筋…麦子啊！全身都是宝来着。As a child, I always expected the sound of “Ding-ding-tong” from Vendors selling rock maltose candy.And grandpa would malt the wheat on his own to hand-pull maltose syrup for us.From a handful of grain seeds to a basketful of wheat is a cycle of life.Malt can turn into maltose, straws into hats, and flour into all divine combinations:Steamed buns, cold jelly noodles, Chinese pork burgers, fried dough twists, noodles, and roasted gluten ...What a treasure crop wheat is!#李子柒#李子柒Liziqi 【李子柒 Liziqi 】 https://goo.gl/nkjpSxliziqi李子柒更多精彩视频推荐/More wonderful video recommendations：liziqi李子柒精选视频/decent video selection：https://is.gd/qe9xucSpring 春之卷：https://is.gd/EBwo2nSummer 夏之卷：https://is.gd/i1jJ46Autumn 秋之卷：https://is.gd/YBVeL2Winter 冬之卷：https://is.gd/3JqW8D#LýTửThất #李子柒 #liziqi","这里是李子柒YouTube官方频道哦～欢迎订阅：https://goo.gl/nkjpSx Please  subscribe to 【李子柒 Liziqi 】Liziqi Channel on YouTube if you like my videos本人未在中国大陆以外开设任何销售渠道So far Liziqi has not set up any distribution channels outside China mainland.目前没有任何官方粉丝后援会哦~So far I don't have any official fan clubs~新浪微博：https://weibo.com/u/2970452952Facebook公共主页：https://www.facebook.com/cnliziqi/YouTube公共频道：https://www.youtube.com/c/cnliziqi","李子柒 中国美食 Lý Tử Thất Chinese cuisine","B6bJ_vTslyo"
lJk4JaLNyd4,"Baked coconut goodies! Sweetest way to wish your neighbours Happy New Year | Traditional Me","UCfCw8GGyGpXmtxDTNJ7J5VA","Traditional Me","26","1244.0","https://i.ytimg.com/vi/lJk4JaLNyd4/default.jpg","cooking|recipe|traditional|traditionel|rural village|village cooking|Traditional Me|traditionalme|traditional me|girl cooking|indian girl cooking|indian|srilankan|Sri Lankan|village girl cooking|village girl|vegetable picking|food|eating|chinese girl|chinese girl cooking|country food|nadee cooking|srilankan food|indian food|traditional cooking|relaxing|relax|asmr|tradishanal|usa|USA|america|new year|coconut cake|bibikkan|butterfly pea|blue drink|cocktail","Since the ancient times Coconuts have become so closely linked with every Sri Lankan cuisine! Coconuts have become a part and partial of Sri Lankan cooking. Later on due to this deep bond with this versatile crop, the coconut tree became well known as the “Kapruka“ on earth( Kapruka is a mythical tree which is known to be in the heaven where it is believed to be a wishing tree that grant every wish & abundance of wealth). Coconuts are available in abundance in My village, Dankotuwa. Hence Grandmother is very efficient and experienced in making various delicious desserts & different savoury dishes by using coconuts.It is a tradition and age old practice for Grandmother to make a yummy sweets made from her own hands & to go and gift the shares on every 1st of January to all her daughters and sons who are our aunts and uncles! I also get together with Grandmother with much enthusiasm to prepare the sweets. Usually a big quantity is prepared to gift away to 5 families. This time 5 baking trays are being baked with this delicious cake called Bibbikkan”(Sri Lankan cococnut cake). Basically the scraped coconuts is cooked with coconut treacle over a low heat until sticky and sweet(we call it Pani Pol), and then this sweet mixture was mixed well with flour, dried raisins, pumpkin preserve, cashews and semolina. It’s a very common practice to add a bit of ground spice mixture (a combination of cinnamon, cardamom, sweet cumin, cloves etc)To enhance the richness and the flavour of the Bibikkan as well as for most of our Sri Lankan traditional, sweets.Brothers coconut water drink was indeed a very welcomed thirst quencher while making the cake. Even though our brothers sneaky attempt to avoid the scraping of the coconuts, was caught red handed because of his singing which I'm sure must have heard by everyone in the neighborhood! Though His sneaky attempt to avoid the scraping of the coconuts, his coconut drink was an absolute hit. His delicious coconut water drink with basil seeds mixed with juice of butterfly pea flower(nil katarolu mal) is a very cooling drink to the body! The same cooling effect is there in cucumbers, basil seeds and  coconut water. Anyhow our brother is very clever and talented in making very quick and instant things.Grandmother is a very good cookery teacher as she taught me how to make Bibikkan. but I strongly believe that she is an expert in making the sweet coconut mixture than me. This sweet coconut mixture is the base of this dessert as the richness and the texture is depending on the perfect sweet coconut mixture! The sweet coconut mixture will be come bitter if the treacle get burnt or if the sweet coconut mixture is over-cooked. Then the end result will be a bitter taste Bibbikan! I always like to gift wrap these baked coconut cakes beautifully since they were to be gifted on the 1st of January. Nothing works so well for this than a slightly heated up banana leaf. I am sure everyone would love the idea of gifting such an eye catching and yummy dessert on the 1st day of a brand New Year for their loved ones!May 2021 bring you success and good health. Happy New Year!Nadee***Please turn on CC (Subtitles) to know the ingredient names. 乡村烹饪 cuisine de village गाँव का खाना बनाना cucina del villaggio طبخ القرية Dorfkochen 村の料理 dorp koken 마을 요리 pagluluto ng nayon деревенская кухня cozinha da vila ഗ്രാമീണ പാചകം cocina del pueblo গ্রাম রান্না vesnické vaření landsby madlavning ចម្អិនអាហារតាមភូមិ kylän ruoanlaitto गाउँ खाना पकाउने masakan desa கிராம சமையல் masakan kampung หมู่บ้านทำอาหาร gotowanie na wsi köy pişirme làng nấu ăn ရွာချက်ပြုတ် μαγειρική στο χωριό villa coctioneInspired by 李子柒 Liziqi and Dianxi XiaogeWatch all my videos(playlist) - https://www.youtube.com/watch?v=Gz7Dd...Music - Traditional Me © FACEBOOK : https://www.facebook.com/traditionalme/#villagecooking #srilankanfood #traditionalme #village #villagelife #villagefood #nadee #countryfood #newyearfood #newyear","I’m Nadee and I live in a village in Sri Lanka far away from the city life. I dedicate a lot of time to my hobby which is making delicious food for my family. I love to cook local Sri Lankan food and the Indian which is from our neighbouring country and also the Arabic and the Malay food because Sri Lanka is a multi cultural country. Also you may see my own innovations as well.In this modern world, you might wonder why I appear to live like someone lived in the past. I prefer to live my traditional life because I believe by picking new technology over traditional methods of preparation, we lose out the original taste and the “soul” of the food we eat. Therefore I always try to follow traditional methods in cooking.So, I invite you to take a peek at my simple and traditional life surrounded by the lush greenery and rich culture, doing what I love. To me, the biggest happiness is spending time with my younger Brother also with my Grandmother and I really love that Traditional Me.","Traditional Me Traditional Me traditional me food drinks recipes recipe village food village country food cooking village girl girl village life rural primitive primitive cooking indian food srilankan food arabic food malay food chinese girl cooking indian girl indian girl cooking traditional methods traditional cooking rural cooking authentic authentic cooking street food rice and curry rice curry vegetable fruit dessert garden vegetable picking home garden farm thai food thai cooking kitchen rural life happy life village living","B6bJ_vTslyo"
eR-1WnXhwBY,"一道“名不副实”的腌辣菜——猪肝鮓【滇西小哥】","UCQG_fzADCunBTV1KwjkfAQQ","滇西小哥 Dianxi Xiaoge","22","402.0","https://i.ytimg.com/vi/eR-1WnXhwBY/default.jpg","滇西小哥|Ms Dianx|Điền Tây Tiểu Ca|雲南|雲南美食|鄉間美食|云南|云南美食|乡间美食|dianxixiaoge|年猪|过年菜|年菜|排骨|猪肝|鮓|猪肝鮓|骨头鮓","祖辈留下来的排骨储存方法中，除了做腊排骨，骨头鮓，还有一种猪肝鮓。同样的调料，光有排骨就叫“骨头鮓”，是我们施甸的特色腌辣，如果加上猪肚和肥肠，就成了大理的“猪肝鮓”， 这道菜全程没有用到猪肝，但是祖辈们都叫它猪肝鮓，口味和吃法都类似，可蒸，可炒，可烩……当成一种特色调味料～每年杀年猪都会做一些储存。※Click cc on the lower right menu to choose your subtitle language.Among the traditional ways to preserve ribs, besides preserved ribs and preserved bones, there is also one recipe called preserved pig liver. With the same spices, if we use only ribs, it will be called preserved bones, which is a Shidian specialty. But if we use pig tripe and large intestines, it will be called preserved pig liver of Dali. Though it has no pig liver inside, our ancestors have been calling it preserved pig liver from the very beginning. Both of them have the same cooking methods and can be steamed, stir-fried and stewed. It is used as a special seasoning ingredient. We usually make some when killing the annual pig each year.大家好！我是滇西小哥，一个地道的云南妹子，如果你喜欢我的视频，请持续关注我的频道，我会在不同的平台分享我的生活，以及云南特色美食，祝你们天天开心，每天都有美食相伴～YouTube【滇西小哥 Dianxi Xiaoge】▶️https://bit.ly/2MH1T5NFacebook【滇西小哥 Dianxi Xiaoge】 ▶️https://bit.ly/2TsGflrInstagram【dianxixiaoge_apenjie】▶️https://bit.ly/2Wagkze   #滇西小哥 #DianxiXiaoge #ĐiềnTâyTiểuCa #鮓","煮一壶普洱，烹二三滇菜，四五家人围坐，此生足矣滇西小哥，一个地道的云南妹子。 跟着我的视频来走滇西，看山山水水，尝滇西，吃虫虫草草。每周三更新～Pu-erh tea, Dian cuisine,family and friends, best indeed.Dianxi Xiaoge, a Yunnan local.Come with me to explore the authentic Dianxi.The place where rivers and mountains come to life,where people enjoy eating insects and herbs.I update new videos on Wednesdays~","滇西小哥 Ms Dianxi","B6bJ_vTslyo"
YKIXHn3kDL0,"愿一串串的红柿子给大家带来新一年的柿柿顺心❤️May the red, red persimmons bring you a happy, prosperous new year!","UCoC47do520os_4DBMEFGg4A","李子柒 Liziqi","26","1212.0","https://i.ytimg.com/vi/YKIXHn3kDL0/default.jpg","liziqi|liziqi vlogger|中國美食|中華傳統文化|Chinese food|饮食文化|中国风|田园|美食|ly tu that|李子柒|lý tử thất|李子柒最新|李子柒柿子|柿子饼|李子柒 红柿子","Please  subscribe to 【李子柒 Liziqi 】Liziqi Channel on YouTube if you like my videos: https://goo.gl/nkjpSx #李子柒柿子#李子柒#Liziqi #ChineseCuisine #ChineseFood去年霜降之后整了一缸柿子醋，直到今年初雪才吃得。大冷天的围着火炉子吃着新捂的柿饼、烤点小肠蘸点醋就着热腾腾的鱼汤这才是属于冬天的幸福啊…愿这一串串的红柿子送走即将过去的2020年，带来新一年所有的你们万柿如意，好柿连连❤️After Frost's Descent last year, I made a jar of persimmon vinegar, andhave been waiting till the first snow this year when it’s ready to be served.With frigid chill outside, we nestle around the fireplace, eat newly dried persimmons,And dip the grilled isaws in the vinegar to go with hot fish soup--Such a luxury of winter…May the red, red persimmons see the old year out,And bring all of you a happy, prosperous new year!【李子柒 Liziqi 】 https://goo.gl/nkjpSx--------------------------------------------------------------------liziqi李子柒更多精彩视频推荐/More wonderful video recommendations：liziqi李子柒精选视频/decent video selection：https://is.gd/qe9xuc李子柒●花开有声 | Soud of blooming flowers： https://is.gd/tyr1ja李子柒 ●饮食以节 | Chinese festival food： https://is.gd/3LsFnu李子柒 ●适时而食 | Seasonal diet： https://is.gd/JmLJH3东方非遗传承 | Oriental intangible cultural heritage ： https://is.gd/atatyo传统工艺 | Traditional handicraft： https://is.gd/FPl4dfSpring 春之卷：https://is.gd/EBwo2nSummer 夏之卷：https://is.gd/i1jJ46Autumn 秋之卷：https://is.gd/YBVeL2Winter 冬之卷：https://is.gd/3JqW8D#李子柒#liziqi#李子柒柿子","这里是李子柒YouTube官方频道哦～欢迎订阅：https://goo.gl/nkjpSx Please  subscribe to 【李子柒 Liziqi 】Liziqi Channel on YouTube if you like my videos本人未在中国大陆以外开设任何销售渠道So far Liziqi has not set up any distribution channels outside China mainland.目前没有任何官方粉丝后援会哦~So far I don't have any official fan clubs~新浪微博：https://weibo.com/u/2970452952Facebook公共主页：https://www.facebook.com/cnliziqi/YouTube公共频道：https://www.youtube.com/c/cnliziqi","李子柒 中国美食 Lý Tử Thất Chinese cuisine","B6bJ_vTslyo"
hf6_I-UjTAs,"传统烟熏腊鱼做法，只放盐和刺梨酒就可以，酸汤鱼是送的 | 野小妹wild girl 美食","UCf8zNN8N7U2BEm4WBQnWBIw","野小妹wild girl","22","1020.0","https://i.ytimg.com/vi/hf6_I-UjTAs/default.jpg","Food Channel|chinese food|China|大陆美食|小吃|食品|美食|liziqi|李子柒|滇西小哥Dianxixiaoge|wild girl|野小妹|大陆农村|大陆|生活|中国传统美食|中国|传统文化|WILD GIRL|yexiaomei|小妹|village cooking|girl cooking|indian girl cooking|srilankan|village girl cooking|village girl|food|chinese girl|country food|nadee cooking|srilankan food|indian food|relaxing|relax|asmr|usa|USA|传统腊鱼做法|腊鱼|腊鱼怎么做|烟熏腊鱼|柏香树熏腊鱼|鱼的做法|贵州酸汤鱼的做法|酸汤鱼|酸汤鱼火锅|腊肉|湖南特产|湖南腊鱼|腊草鱼|风干鱼|凯里酸汤鱼|酸汤鱼调料|酸汤鱼火锅底料|fish|杀年猪|2021过年|香肠|吹猪肝|food channel l|萝卜|萝卜都做法","欢迎订阅！ Welcome to subscribe！野小妹wild girlhttps://www.youtube.com/channel/UCf8zNN8N7U2BEm4WBQnWBIw?sub_confirmation=1==========================================欢迎来到野小妹频道,有你们的支持 让我们的人生更精彩！===============================================（野小妹）一个地道的贵州妹子！跟着我的视频去看贵州的 美食 小吃 野菜 中国美食 Chinese Food DIY 农村的风俗,风景,山山水水,,享受农村的生活！======================================================每周不定期更新，如果没更新，可能是没网啦😊，欢迎大家订阅====================================================贵州 美食 | 野小妹Wild girl#野小妹 #ChineseFood #wildgirl","Dear friends, welcome to the main channel of Wild girl 【亲爱的朋友们，欢迎来到野小妹Wild girl 的主频道】 一个地道的贵州女孩带你们寻找身边的美食中国传统美食中国农村文化和身边的风景。@野小妹Wild girl","Food Channel chinese food China 大陆美食 小吃 食品 美食 liziqi 李子柒 滇西小哥Dianxixiaoge wild girl 野小妹 大陆美食 大陆农村 大陆 生活 传统美食 中国传统美食 中国 传统文化 tourism WILD GIRL yexiaomei 小妹 cooking Me food drinks recipes recipe village cooking girl rural primitive authentic rice curry vegetable fruit dessert garden farm kitchen village food country food village girl village lifeprimitive cookingindian foodsrilankan foodarabic food malay food chinese girl cooking indian girl","B6bJ_vTslyo"
UmEXbJUnFG0,"千年民俗蕴服章之美，蜀绣文化彰华夏礼仪 Shu Embroidery | Liziqi Channel","UCoC47do520os_4DBMEFGg4A","李子柒 Liziqi","26","626.0","https://i.ytimg.com/vi/UmEXbJUnFG0/default.jpg","lý tử thất|li ziqi|Chinese girl|李子柒|蜀绣|刺绣|传统文化|中华文化|田园|生活方式","Please subscribe to 【李子柒 Liziqi 】Liziqi Channel on YouTube if you like my videos: https://goo.gl/nkjpSx一针一线是底蕴，一丝一缕是文化在蜀绣上看见，川蜀大地千年风俗冬去春来，又是一年！千年岁月流淌，蜀绣之美依旧！愿更多人知道中国优秀的传统文化，迟到的七夕礼物，愿你我皆平安[心]Weaving culture into every stitchUnveiling history with fine needleworkShu embroidery embodies the splendor of Sichuan traditionIt gains extra charm with the test of thousands of yearsas another winter eases into springMay you savor the delicacy of Chinese culture in a piece of Shu embroideryMay you enjoy a belated Chinese Valentine’s Day May peace be with you 【李子柒 Liziqi 】 https://goo.gl/nkjpSxmore videos of my channel：Spring 春之卷（playlist）：https://www.youtube.com/playlist?list=PLF-q-IGQQb1uK7fYuaQiRpcORDSmfsY2n#Liziqi #LýTửThất #李子柒 #Chinesefood #리즈치","这里是李子柒YouTube官方频道哦～欢迎订阅：https://goo.gl/nkjpSx Please  subscribe to 【李子柒 Liziqi 】Liziqi Channel on YouTube if you like my videos本人未在中国大陆以外开设任何销售渠道So far Liziqi has not set up any distribution channels outside China mainland.目前没有任何官方粉丝后援会哦~So far I don't have any official fan clubs~新浪微博：https://weibo.com/u/2970452952Facebook公共主页：https://www.facebook.com/cnliziqi/YouTube公共频道：https://www.youtube.com/c/cnliziqi","李子柒 中国美食 Lý Tử Thất Chinese cuisine","B6bJ_vTslyo"
eQiiHCxa94g,"Mẹo vặt trồng cải thảo lớn nhanh như thổi | Tips to grow napa cabbage grow as fast as blow","UCbxbwh7MV5YOJ2HMzAu2zDg","Home & Garden","22","634.0","https://i.ytimg.com/vi/eQiiHCxa94g/default.jpg","trồng rau quả sạch tại nhà|làm vườn|trồng rau sân thượng|trồng rau sạch tại nhà|trồng rau tại gia|trồng rau trên sân thượng|kinh nghiệm trồng rau|bí quyết trồng rau|làm vườn rau|kinh nghiệm làm vườn|bí quyết làm vườn|nông dân phố|Home garden|nông dân làm vườn|Mẹo vặt|trồng cải thảo|cải thảo|trồng cải|mẹo vặt trồng cải|mẹo tái chế chai nhựa|tái chế chai nhựa|kim chi cải thảo|tái chế rác thải","Mẹo vặt trồng cải thảo lớn nhanh như thổi | Tips to grow napa cabbage grow as fast as blowMẹo vặt, trồng cải thảo, cải thảo, trồng cải, mẹo vặt trồng cải, mẹo tái chế chai nhựa, tái chế chai nhựa, kim chi cải thảo, tái chế rác thải,","Home & GardenKênh chia sẻ những ý tưởng, sáng tạo về trồng rau quả tại nhà","làm vườn trồng rau làm vườn cách trồng rau mẹo trồng rau ý tưởng mẹo vặt mẹo làm vườn bà nội trợ làm vườn làm vườn đúng cách trồng cây nông nghiệp phố làm nông làm vườn rau thủ thuật trồng cây mẹo vặt làm vườn nông nghiệp công nghệ làm vườn","B6bJ_vTslyo"
